Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean
E01,FAM,PfVarATS,Unkn,1380,37.07620971,NaN,37.07620971
E02,FAM,PfVarATS,Unkn,1381,36.99814246,NaN,36.99814246
E03,FAM,PfVarATS,Unkn,1382,37.1062758,NaN,37.1062758
E04,FAM,PfVarATS,Unkn,1383,NaN,NaN,0
E05,FAM,PfVarATS,Unkn,1384,NaN,NaN,0
E06,FAM,PfVarATS,Unkn,1385,NaN,NaN,0
E07,FAM,PfVarATS,Unkn,1386,NaN,NaN,0
E08,FAM,PfVarATS,Unkn,1387,36.32909965,NaN,36.32909965
E09,FAM,PfVarATS,Unkn,1388,36.79155199,NaN,36.79155199
E10,FAM,PfVarATS,Unkn,1389,NaN,NaN,0
E11,FAM,PfVarATS,Unkn,1394,NaN,NaN,0
E12,FAM,PfVarATS,Unkn,1395,NaN,NaN,0
F01,FAM,PfVarATS,Unkn,1396,NaN,NaN,0
F02,FAM,PfVarATS,Unkn,1397,NaN,NaN,0
F03,FAM,PfVarATS,Unkn,1398,NaN,NaN,0
F04,FAM,PfVarATS,Unkn,1399,36.2253817,NaN,36.2253817
F05,FAM,PfVarATS,Unkn,1400,NaN,NaN,0
F06,FAM,PfVarATS,Unkn,1401,38.46061568,NaN,38.46061568
F07,FAM,PfVarATS,Unkn,1402,36.03227404,NaN,36.03227404
F08,FAM,PfVarATS,Unkn,1403,NaN,NaN,0
F09,FAM,PfVarATS,Unkn,1404,NaN,NaN,0
F10,FAM,PfVarATS,Unkn,1405,36.21798545,NaN,36.21798545
F11,FAM,PfVarATS,Unkn,1406,37.32532978,NaN,37.32532978
F12,FAM,PfVarATS,Unkn,1407,36.23255995,NaN,36.23255995
G01,FAM,PfVarATS,Unkn,1408,NaN,NaN,0
G02,FAM,PfVarATS,Unkn,1409,36.47941677,NaN,36.47941677
G03,FAM,PfVarATS,Unkn,1410,NaN,NaN,0
G04,FAM,PfVarATS,Unkn,1411,36.44279771,NaN,36.44279771
G05,FAM,PfVarATS,Unkn,1412,37.43405136,NaN,37.43405136
